word           count  size
-----------  -------  ------
the               16  Huge
of                12  Big
and               10  Big
to                10  Big
lorem              8  Normal
ipsum              8  Normal
it                 8  Normal
in                 8  Normal
this               8  Normal
is                 6  Normal
learn              6  Normal
wazuh              6  Normal
dummy              4  small
text               4  small
typesetting        4  small
industry           4  small
has                4  small
a                  4  small
type               4  small
not                4  small
only               4  small
also               4  small
with               4  small
section            4  small
you                4  small
will               4  small
how                4  small
provision          4  small
using              4  small
virtual            4  small
setup              4  small
simply             2  small
printing           2  small
been               2  small
s                  2  small
standard           2  small
ever               2  small
since              2  small
1500s              2  small
when               2  small
